record_id,user_id,station_id,charge_start_time,charge_end_time,duration_minutes,energy_kwh,cost_yuan,payment_method,start_soc,end_soc
REC000001,U00366,299,2024-01-10 12:23:00,2024-01-10 14:44:00,141,1128,2820,微信支付,28,100
REC000002,U00024,64,2024-01-18 14:41:00,2024-01-18 15:48:00,67,536,1340,信用卡,13,89
REC000003,U00464,20,2024-01-12 04:34:00,2024-01-12 06:13:00,99,11.55,13.86,微信支付,22,87
REC000004,U00470,1523,2024-01-19 13:02:00,2024-01-19 13:28:00,26,208,520,微信支付,14,99
REC000005,U00319,1009,2024-01-13 00:00:00,2024-01-13 02:03:00,123,14.35,17.22,信用卡,28,100
REC000006,U00105,1269,2024-01-30 23:37:00,2024-01-31 01:01:00,84,168,302.4,支付宝,10,93
REC000007,U00194,1695,2024-01-13 21:44:00,2024-01-13 22:47:00,63,126,226.8,支付宝,18,99
REC000008,U00321,43,2024-01-19 05:57:00,2024-01-19 06:22:00,25,2.92,3.5,信用卡,24,84
REC000009,U00037,914,2024-01-30 06:25:00,2024-01-30 07:09:00,44,5.13,6.16,微信支付,15,95
REC000010,U00094,273,2024-01-25 16:28:00,2024-01-25 18:06:00,98,784,1960,微信支付,18,92
REC000011,U00275,1167,2024-01-14 06:52:00,2024-01-14 08:19:00,87,174,313.2,信用卡,18,83
REC000012,U00203,490,2024-01-10 10:46:00,2024-01-10 11:23:00,37,296,740,信用卡,25,86
REC000013,U00266,521,2024-01-02 20:59:00,2024-01-02 23:14:00,135,1080,2700,支付宝,13,83
REC000014,U00020,937,2024-01-18 21:52:00,2024-01-18 22:54:00,62,7.23,8.68,微信支付,12,87
REC000015,U00316,1786,2024-01-18 03:07:00,2024-01-18 05:14:00,127,14.82,17.78,信用卡,14,94
REC000016,U00340,169,2024-01-24 04:05:00,2024-01-24 05:08:00,63,126,226.8,微信支付,20,81
REC000017,U00008,2330,2024-01-08 04:48:00,2024-01-08 06:30:00,102,11.9,14.28,支付宝,15,91
REC000018,U00103,1893,2024-01-30 13:34:00,2024-01-30 14:03:00,29,232,580,支付宝,22,84
REC000019,U00259,1196,2024-01-04 03:31:00,2024-01-04 04:43:00,72,8.4,10.08,微信支付,30,86
REC000020,U00337,1376,2024-01-21 05:21:00,2024-01-21 05:42:00,21,42,75.6,支付宝,12,87
REC000021,U00148,2165,2024-01-26 14:13:00,2024-01-26 15:09:00,56,448,1120,微信支付,27,90
REC000022,U00058,233,2024-01-04 05:08:00,2024-01-04 07:07:00,119,952,2380,信用卡,27,80
REC000023,U00371,696,2024-01-15 21:20:00,2024-01-15 23:09:00,109,872,2180,微信支付,14,83
REC000024,U00004,958,2024-01-18 14:23:00,2024-01-18 14:38:00,15,30,54,信用卡,11,92
REC000025,U00062,2323,2024-01-11 11:14:00,2024-01-11 14:09:00,175,1400,3500,微信支付,28,97
REC000026,U00011,303,2024-01-30 18:43:00,2024-01-30 20:59:00,136,1088,2720,信用卡,30,92
REC000027,U00352,1157,2024-01-29 06:53:00,2024-01-29 08:47:00,114,13.3,15.96,支付宝,17,95
REC000028,U00177,1025,2024-01-30 05:26:00,2024-01-30 07:37:00,131,15.28,18.34,支付宝,14,94
REC000029,U00451,2198,2024-01-17 15:21:00,2024-01-17 16:33:00,72,576,1440,微信支付,19,100
REC000030,U00494,715,2024-01-18 22:17:00,2024-01-18 23:37:00,80,9.33,11.2,微信支付,21,80
REC000031,U00413,1769,2024-01-14 21:31:00,2024-01-14 22:22:00,51,102,183.6,微信支付,24,93
REC000032,U00437,2218,2024-01-11 13:55:00,2024-01-11 15:52:00,117,936,2340,微信支付,30,91
REC000033,U00483,853,2024-01-19 17:14:00,2024-01-19 19:16:00,122,976,2440,支付宝,24,94
REC000034,U00488,1819,2024-01-18 22:16:00,2024-01-19 00:29:00,133,1064,2660,支付宝,20,90
REC000035,U00069,1634,2024-01-25 08:49:00,2024-01-25 09:56:00,67,536,1340,微信支付,16,86
REC000036,U00100,2329,2024-01-29 09:58:00,2024-01-29 11:46:00,108,864,2160,支付宝,27,93
REC000037,U00330,1536,2024-01-15 05:12:00,2024-01-15 06:21:00,69,138,248.4,支付宝,14,95
REC000038,U00278,446,2024-01-30 22:25:00,2024-01-31 00:35:00,130,1040,2600,支付宝,29,93
REC000039,U00103,209,2024-01-11 03:12:00,2024-01-11 04:53:00,101,808,2020,信用卡,15,92
REC000040,U00222,2120,2024-01-09 10:57:00,2024-01-09 13:05:00,128,1024,2560,微信支付,16,92
REC000041,U00342,2325,2024-01-09 02:14:00,2024-01-09 03:38:00,84,9.8,11.76,信用卡,28,84
REC000042,U00295,1647,2024-01-10 06:03:00,2024-01-10 06:56:00,53,424,1060,支付宝,20,94
REC000043,U00445,1007,2024-01-07 04:36:00,2024-01-07 06:55:00,139,1112,2780,支付宝,29,99
REC000044,U00377,2174,2024-01-29 20:02:00,2024-01-29 20:26:00,24,192,480,信用卡,13,82
REC000045,U00011,352,2024-01-01 15:28:00,2024-01-01 15:56:00,28,56,100.8,支付宝,12,90
REC000046,U00104,1462,2024-01-08 02:29:00,2024-01-08 03:38:00,69,138,248.4,支付宝,12,91
REC000047,U00299,1293,2024-01-21 13:49:00,2024-01-21 16:05:00,136,15.87,19.04,支付宝,15,89
REC000048,U00052,1243,2024-01-26 19:43:00,2024-01-26 20:38:00,55,440,1100,微信支付,15,93
REC000049,U00273,486,2024-01-29 09:20:00,2024-01-29 11:19:00,119,238,428.4,微信支付,27,97
REC000050,U00359,1924,2024-01-14 01:10:00,2024-01-14 02:28:00,78,624,1560,微信支付,14,94
REC000051,U00387,398,2024-01-03 01:00:00,2024-01-03 01:49:00,49,392,980,支付宝,25,92
REC000052,U00088,1954,2024-01-02 03:47:00,2024-01-02 06:32:00,165,330,594,信用卡,21,94
REC000053,U00293,2396,2024-01-09 12:36:00,2024-01-09 14:45:00,129,15.05,18.06,微信支付,25,98
REC000054,U00454,1409,2024-01-16 17:07:00,2024-01-16 17:43:00,36,72,129.6,支付宝,12,85
REC000055,U00320,553,2024-01-14 21:47:00,2024-01-14 23:42:00,115,230,414,微信支付,13,86
REC000056,U00150,1314,2024-01-05 00:44:00,2024-01-05 02:29:00,105,12.25,14.7,信用卡,25,80
REC000057,U00087,1712,2024-01-17 20:54:00,2024-01-17 22:13:00,79,158,284.4,微信支付,26,88
REC000058,U00463,2132,2024-01-02 07:36:00,2024-01-02 09:56:00,140,16.33,19.6,支付宝,15,81
REC000059,U00359,979,2024-01-15 04:55:00,2024-01-15 06:17:00,82,164,295.2,支付宝,23,90
REC000060,U00140,166,2024-01-31 03:17:00,2024-01-31 05:29:00,132,1056,2640,信用卡,12,90
REC000061,U00017,2259,2024-01-07 04:42:00,2024-01-07 07:36:00,174,348,626.4,微信支付,28,80
REC000062,U00195,1240,2024-01-10 08:03:00,2024-01-10 10:18:00,135,1080,2700,支付宝,22,81
REC000063,U00357,1108,2024-01-18 07:45:00,2024-01-18 09:25:00,100,800,2000,支付宝,26,93
REC000064,U00363,1668,2024-01-16 19:41:00,2024-01-16 20:29:00,48,5.6,6.72,支付宝,18,97
REC000065,U00251,791,2024-01-14 01:37:00,2024-01-14 03:00:00,83,664,1660,微信支付,24,82
REC000066,U00442,1306,2024-01-24 09:44:00,2024-01-24 10:28:00,44,352,880,微信支付,14,83
REC000067,U00039,996,2024-01-09 07:26:00,2024-01-09 09:16:00,110,220,396,微信支付,14,98
REC000068,U00399,971,2024-01-05 05:26:00,2024-01-05 06:00:00,34,68,122.4,微信支付,10,90
REC000069,U00080,289,2024-01-27 18:31:00,2024-01-27 21:26:00,175,1400,3500,支付宝,30,90
REC000070,U00314,434,2024-01-06 19:13:00,2024-01-06 19:42:00,29,58,104.4,信用卡,14,86
REC000071,U00096,333,2024-01-05 10:09:00,2024-01-05 10:47:00,38,4.43,5.32,微信支付,23,87
REC000072,U00026,862,2024-01-04 20:44:00,2024-01-04 22:38:00,114,13.3,15.96,支付宝,30,96
REC000073,U00244,790,2024-01-10 05:30:00,2024-01-10 07:51:00,141,282,507.6,信用卡,15,95
REC000074,U00375,1180,2024-01-28 04:24:00,2024-01-28 04:54:00,30,240,600,支付宝,15,96
REC000075,U00041,26,2024-01-09 06:04:00,2024-01-09 07:09:00,65,130,234,支付宝,14,97
REC000076,U00499,2357,2024-01-09 20:48:00,2024-01-09 21:34:00,46,368,920,信用卡,12,86
REC000077,U00435,767,2024-01-15 21:03:00,2024-01-15 22:16:00,73,146,262.8,微信支付,22,100
REC000078,U00308,1216,2024-01-20 00:19:00,2024-01-20 02:43:00,144,288,518.4,信用卡,19,86
REC000079,U00129,1748,2024-01-16 22:34:00,2024-01-16 23:50:00,76,608,1520,信用卡,10,100
REC000080,U00145,1031,2024-01-08 14:08:00,2024-01-08 14:39:00,31,3.62,4.34,微信支付,12,95
REC000081,U00463,1410,2024-01-03 23:58:00,2024-01-04 02:51:00,173,20.18,24.22,支付宝,12,94
REC000082,U00382,50,2024-01-05 06:22:00,2024-01-05 07:58:00,96,11.2,13.44,信用卡,21,99
REC000083,U00292,270,2024-01-13 04:39:00,2024-01-13 06:15:00,96,768,1920,支付宝,21,95
REC000084,U00256,1518,2024-01-14 21:56:00,2024-01-15 00:16:00,140,16.33,19.6,支付宝,27,86
REC000085,U00301,935,2024-01-09 00:17:00,2024-01-09 00:42:00,25,50,90,信用卡,21,93
REC000086,U00451,1905,2024-01-22 06:14:00,2024-01-22 07:52:00,98,11.43,13.72,支付宝,24,94
REC000087,U00079,1853,2024-01-07 17:11:00,2024-01-07 19:04:00,113,226,406.8,支付宝,10,84
REC000088,U00196,1298,2024-01-30 00:31:00,2024-01-30 01:24:00,53,424,1060,支付宝,21,80
REC000089,U00406,1780,2024-01-09 02:43:00,2024-01-09 03:36:00,53,424,1060,信用卡,15,86
REC000090,U00009,389,2024-01-19 01:23:00,2024-01-19 03:38:00,135,270,486,微信支付,18,90
REC000091,U00012,811,2024-01-23 21:12:00,2024-01-23 23:07:00,115,920,2300,微信支付,19,97
REC000092,U00117,1138,2024-01-09 21:28:00,2024-01-09 23:47:00,139,278,500.4,信用卡,25,93
REC000093,U00486,1783,2024-01-08 12:34:00,2024-01-08 14:53:00,139,16.22,19.46,信用卡,11,91
REC000094,U00035,435,2024-01-15 23:06:00,2024-01-16 01:23:00,137,274,493.2,信用卡,19,84
REC000095,U00266,964,2024-01-23 17:49:00,2024-01-23 18:59:00,70,8.17,9.8,支付宝,25,80
REC000096,U00324,1262,2024-01-08 11:14:00,2024-01-08 12:55:00,101,202,363.6,信用卡,19,99
REC000097,U00314,1758,2024-01-06 19:05:00,2024-01-06 21:53:00,168,19.6,23.52,微信支付,26,89
REC000098,U00372,1398,2024-01-18 05:48:00,2024-01-18 06:35:00,47,376,940,支付宝,28,95
REC000099,U00010,259,2024-01-21 14:19:00,2024-01-21 16:08:00,109,12.72,15.26,支付宝,17,86
REC000100,U00353,1337,2024-01-11 20:58:00,2024-01-11 22:33:00,95,760,1900,信用卡,25,88
REC000101,U00175,2274,2024-01-27 12:28:00,2024-01-27 14:07:00,99,11.55,13.86,信用卡,16,84
REC000102,U00401,1319,2024-01-30 01:03:00,2024-01-30 03:44:00,161,18.78,22.54,微信支付,28,99
REC000103,U00417,971,2024-01-12 14:04:00,2024-01-12 16:24:00,140,280,504,信用卡,25,80
REC000104,U00262,1284,2024-01-05 14:24:00,2024-01-05 16:17:00,113,904,2260,微信支付,29,90
REC000105,U00271,334,2024-01-23 14:14:00,2024-01-23 16:27:00,133,266,478.8,信用卡,18,82
