station_id,station_name,address,phone,longitude,latitude,city_id,operator_id,spec_id,opening_hours,has_restroom,parking_spots
1,理想汽车超级充电站(理想5C超充站龙河高速定南服务区龙南方向),定南服务区龙南方向,4006860400,114.9627722,24.67902525,1,1,5,24小时,TRUE,22
2,特来电汽车充电站(特来电赣州高速定南服务区河源方向电动汽车充电站),定南服务区西区,4001300001,114.9603075,24.67992659,1,2,1,24小时,TRUE,11
3,驴充充汽车充电站(界上),肖田乡G236界上,0797-966999,116.109579,27.12952437,2,5,5,24小时,TRUE,42
4,国家电网汽车充电站(江西省赣州市宁都县肖田乡肖田供电服务站公共充电站),肖田乡肖田供电服务站公共充电站,18296760232,116.0915222,27.04319103,2,1,3,24小时,TRUE,10
5,汽车充电站,鸿运饭店,[],116.0958501,26.93674319,2,2,1,24小时,TRUE,40
6,国家电网汽车充电站(江西省赣州市宁都县东韶乡东韶供电服务站公共充电站),祥林大酒店处,18279708232,116.0020989,26.9221677,2,5,1,24小时,FALSE,19
7,驴充充汽车充电站(迅达超级快充充电站),洛口中学支部委员会,13766367728,116.0819188,26.85271889,2,5,3,24小时,FALSE,5
8,星星充电汽车充电站(星星充电-中京石化充电站),洛口镇中京石化加油站(同发站),13576754981,116.0780069,26.85137145,2,4,1,24小时,FALSE,22
9,驴充充汽车充电站(洛口镇易地搬迁河东安置点),洛口镇易地搬迁河东安置点,18296873778,116.0813727,26.85564663,2,2,1,24小时,FALSE,11
10,蔚景云汽车充电站(宁都万鑫超级充电桩洛口镇),洛口镇453乡道,4006803880,116.0810257,26.85641167,2,4,1,24小时,TRUE,27
11,国家电网汽车充电站(江西省赣州市宁都县洛口镇洛口供电所公共充电站),洛口镇洛口供电所公共充电站,13803585139,116.0705507,26.85404927,2,5,3,24小时,FALSE,7
12,小桔充电汽车充电站(沃尔泰古夏充电站),洛口镇古夏服务区,4000610999,116.0834193,26.80358318,2,4,5,24小时,TRUE,29
13,充电站,洛口服务区,[],116.0783001,26.79402929,2,5,1,24小时,FALSE,45
14,国家电网汽车充电站(江西省赣州市宁都县小布镇誓师广场充电站),小布镇誓师广场停车场,15579994494,115.8352408,26.78293762,2,3,5,24小时,TRUE,50
15,云快充汽车充电站(宁都雪碳N行动一期项目),小布镇政府西侧停车场,[],115.8313973,26.78161968,2,1,1,24小时,TRUE,23
16,星星充电汽车充电站(星星充电-小布镇笑笑充电站),笑笑的民宿(振兴大道分店),15970719649,115.8270407,26.77796795,2,2,1,24小时,TRUE,29
17,小桔充电汽车充电站(小布镇旅游景区充电站),小布镇旅游风景区游客中心停车场,4000610999,115.828329,26.77640155,2,4,3,24小时,FALSE,15
18,国家电网汽车充电站(江西省赣州市宁都县东山坝镇东山坝供电服务站公共充电站),东山坝镇东山坝供电服务站公共充电站,13607073958,116.0678391,26.77072049,2,3,3,24小时,TRUE,47
19,国家电网汽车充电站(江西省赣州市宁都县大沽乡大沽供电服务站公共充电站),大沽乡大沽供电服务站公共充电站,18770750232,115.7845755,26.73360311,2,1,3,24小时,TRUE,39
20,国家电网汽车充电站(江西省赣州市宁都县钓峰乡钓峰供电服务站公共充电站),钓峰乡钓峰供电服务站公共充电站,13879779680,115.9322738,26.70028994,2,2,5,24小时,TRUE,34
